City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Busselton,AU,77.09,scattered clouds,-33.65,115.3333,Observatory Guest House
9,Souillac,MU,84.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Bredasdorp,ZA,87.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
13,Port Alfred,ZA,78.66,clear sky,-33.5906,26.891,The Halyards Hotel
16,Kruisfontein,ZA,80.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
21,Ati,TD,79.23,scattered clouds,13.2154,18.3353,
25,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
26,Butaritari,KI,80.17,moderate rain,3.0707,172.7902,Isles Sunset Lodge
30,Rikitea,PF,77.99,overcast clouds,-23.1203,-134.9692,People ThankYou
36,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
47,Port Blair,IN,82.8,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
51,Kavaratti,IN,79.59,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
52,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
65,Hermanus,ZA,87.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
74,Hithadhoo,MV,82.24,clear sky,-0.6,73.0833,Scoop Guest House
75,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
81,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
85,Ipoti,NG,78.8,clear sky,7.8738,5.0769,Sege Alakani Hotel
90,Mahebourg,MU,84.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Bandarbeyla,SO,78.96,clear sky,9.4942,50.8122,JABIR HOTEL
94,Port Elizabeth,ZA,83.1,few clouds,-33.918,25.5701,39 On Nile Guest House
95,Bambous Virieux,MU,84.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
97,Davila,PH,80.58,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
112,Bowen,AU,86.22,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
114,Siyabuswa,ZA,75.49,clear sky,-25.1132,29.0445,Survivor Africa Game Lodge
115,Ambovombe,MG,85.73,overcast clouds,-25.1667,46.0833,RELAHARA
124,Atuona,PF,78.53,scattered clouds,-9.8,-139.0333,Villa Enata
133,Kavieng,PG,82.69,light rain,-2.5744,150.7967,Nusa Island Retreat
134,Cape Town,ZA,75.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
135,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
136,Wattegama,LK,83.21,overcast clouds,6.7989,81.4808,
