City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,71.1,76,100,4.79,overcast clouds
1,Hobart,AU,-42.8794,147.3294,71.46,60,75,10.36,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,21.4,95,100,6.4,snow
3,Ushuaia,AR,-54.8,-68.3,40.46,97,95,3.04,light rain
4,Busselton,AU,-33.65,115.3333,77.09,37,45,17.47,scattered clouds
5,Gondar,ET,12.6,37.4667,71.35,39,53,3.06,broken clouds
6,Tasiilaq,GL,65.6145,-37.6368,32.16,89,100,35.54,light snow
7,Balboa,CO,2.0396,-77.2168,59.27,98,100,0.13,light rain
8,Mar Del Plata,AR,-38.0023,-57.5575,70.09,92,0,3.0,clear sky
9,Souillac,MU,-20.5167,57.5167,84.36,83,40,12.66,light rain
10,Bredasdorp,ZA,-34.5322,20.0403,87.28,73,0,3.44,clear sky
11,Qaanaaq,GL,77.484,-69.3632,-6.21,74,34,5.21,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,60.48,99,95,1.05,moderate rain
13,Port Alfred,ZA,-33.5906,26.891,78.66,73,3,21.63,clear sky
14,Kapaa,US,22.0752,-159.319,67.98,94,0,4.61,clear sky
15,Aklavik,CA,68.2191,-135.0107,-22.97,88,9,10.09,clear sky
16,Kruisfontein,ZA,-34.0033,24.7314,80.89,42,0,7.94,clear sky
17,Norman Wells,CA,65.282,-126.8329,-16.56,69,20,11.5,few clouds
18,Mikhaylovka,RU,50.06,43.2379,19.78,90,99,12.03,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,70.48,90,26,4.27,scattered clouds
20,Bluff,NZ,-46.6,168.3333,60.8,97,100,6.76,light rain
21,Ati,TD,13.2154,18.3353,79.23,16,46,14.29,scattered clouds
22,Sitka,US,57.0531,-135.33,30.09,80,100,11.5,light snow
23,Saint George,US,37.1041,-113.5841,43.27,54,0,7.0,clear sky
24,Fortuna,US,40.5982,-124.1573,42.19,100,0,9.22,clear sky
25,Vaini,TO,-21.2,-175.2,75.36,100,100,4.61,light rain
26,Butaritari,KI,3.0707,172.7902,80.17,83,100,16.2,moderate rain
27,Peniche,PT,39.3558,-9.3811,56.1,78,98,10.83,overcast clouds
28,Hachinohe,JP,40.5,141.5,31.82,77,8,9.42,clear sky
29,Ahipara,NZ,-35.1667,173.1667,67.66,78,71,1.14,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,77.99,80,100,20.94,overcast clouds
31,Tiksi,RU,71.6872,128.8694,-21.69,97,99,10.47,overcast clouds
32,Vila,PT,42.0304,-8.1588,45.48,95,100,5.57,light rain
33,Ha Giang,VN,22.8333,104.9833,60.66,97,100,1.95,overcast clouds
34,Naryan-Mar,RU,67.6713,53.087,13.17,92,100,18.61,light snow
35,Grindavik,IS,63.8424,-22.4338,35.55,80,75,6.91,broken clouds
36,Carnarvon,AU,-24.8667,113.6333,82.47,57,0,23.02,clear sky
37,Agropoli,IT,40.3469,14.9966,48.76,73,100,3.13,overcast clouds
38,Buraydah,SA,26.326,43.975,64.85,27,0,13.35,clear sky
39,Khatanga,RU,71.9667,102.5,-14.26,98,24,5.32,few clouds
40,Bijar,IR,35.8668,47.6051,40.96,38,0,3.71,clear sky
41,Arraial Do Cabo,BR,-22.9661,-42.0278,72.59,87,100,7.56,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,13.8,clear sky
43,Chernyshevskiy,RU,63.0128,112.4714,-30.14,98,20,3.91,few clouds
44,Torbay,CA,47.6666,-52.7314,16.75,78,20,7.0,few clouds
