City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bireun,ID,2022-01-07 17:22:08,5.203,96.7009,77.31,89,89,4.29
1,Qaanaaq,GL,2022-01-07 17:22:09,77.484,-69.3632,7.59,69,100,5.39
2,Lorengau,PG,2022-01-07 17:22:09,-2.0226,147.2712,81.36,75,100,10.02
3,Cabo San Lucas,MX,2022-01-07 17:18:33,22.8909,-109.9124,75.51,68,0,1.01
4,Hermanus,ZA,2022-01-07 17:22:09,-34.4187,19.2345,83.89,77,46,20.49
5,Port Keats,AU,2022-01-07 17:22:10,-14.25,129.55,83.05,79,46,9.78
6,Albany,US,2022-01-07 17:22:10,42.6001,-73.9662,30.38,77,100,4.0
7,Zabid,YE,2022-01-07 17:22:11,14.1951,43.3152,80.17,67,53,10.22
8,Guerrero Negro,MX,2022-01-07 17:22:11,27.9769,-114.0611,63.03,63,29,1.74
9,Vallenar,CL,2022-01-07 17:22:12,-28.5708,-70.7581,87.1,28,0,9.98
10,Thompson,CA,2022-01-07 17:22:12,55.7435,-97.8558,-16.8,92,93,7.72
11,Gambela,ET,2022-01-07 17:22:12,8.25,34.5833,89.67,35,100,1.66
12,Kapaa,US,2022-01-07 17:19:36,22.0752,-159.319,64.72,94,0,8.05
13,Mar Del Plata,AR,2022-01-07 17:22:13,-38.0023,-57.5575,84.22,86,0,11.01
14,Tiksi,RU,2022-01-07 17:22:13,71.6872,128.8694,-18.54,89,100,4.88
15,Mataura,NZ,2022-01-07 17:22:14,-46.1927,168.8643,44.28,99,83,1.88
16,Hilo,US,2022-01-07 17:22:14,19.7297,-155.09,68.11,81,40,5.75
17,Yellowknife,CA,2022-01-07 17:18:44,62.456,-114.3525,-18.58,94,49,7.16
18,Nanortalik,GL,2022-01-07 17:22:14,60.1432,-45.2371,17.2,68,10,16.06
19,Ossora,RU,2022-01-07 17:22:15,59.2353,163.0719,24.26,95,100,19.62
20,Rikitea,PF,2022-01-07 17:22:15,-23.1203,-134.9692,77.25,76,100,13.27
21,Pemba,MZ,2022-01-07 17:22:16,-12.974,40.5178,84.9,84,75,8.05
22,Honghu,CN,2022-01-07 17:22:16,29.8206,113.4621,44.26,82,100,2.82
23,Basoko,CD,2022-01-07 17:22:16,1.2391,23.616,82.51,53,67,1.88
24,Port Blair,IN,2022-01-07 17:22:17,11.6667,92.75,79.3,77,32,10.8
25,Castro,BR,2022-01-07 17:22:17,-24.7911,-50.0119,69.53,70,99,6.4
26,Inirida,CO,2022-01-07 17:22:17,3.8653,-67.9239,90.18,48,82,3.87
27,Longyearbyen,SJ,2022-01-07 17:22:18,78.2186,15.6401,3.04,72,0,14.97
28,Kinwat,IN,2022-01-07 17:22:18,19.6333,78.2,70.0,46,1,7.05
29,Sao Filipe,CV,2022-01-07 17:22:19,14.8961,-24.4956,74.05,67,49,13.96
30,Leningradskiy,RU,2022-01-07 17:22:19,69.3833,178.4167,-6.84,98,99,3.76
31,Kodiak,US,2022-01-07 17:22:20,57.79,-152.4072,29.71,69,0,19.57
32,Atuona,PF,2022-01-07 17:22:20,-9.8,-139.0333,77.94,74,68,16.93
33,Denpasar,ID,2022-01-07 17:18:26,-8.65,115.2167,74.86,94,75,4.61
34,Monte Alegre,BR,2022-01-07 17:22:20,-2.0078,-54.0692,87.58,58,99,4.41
35,Alice Springs,AU,2022-01-07 17:19:39,-23.7,133.8833,69.35,28,0,5.75
36,Aldan,RU,2022-01-07 17:22:21,58.6031,125.3894,-3.98,99,100,2.68
37,Busselton,AU,2022-01-07 17:22:21,-33.65,115.3333,67.05,64,22,10.78
38,Ponta Do Sol,PT,2022-01-07 17:22:21,32.6667,-17.1,66.7,82,60,7.4
39,Pauini,BR,2022-01-07 17:22:22,-7.7136,-66.9764,84.63,81,93,3.47
40,Tuktoyaktuk,CA,2022-01-07 17:22:22,69.4541,-133.0374,-14.55,94,100,23.0
41,Cherskiy,RU,2022-01-07 17:22:23,68.75,161.3,-8.07,96,100,1.97
42,Altamira,BR,2022-01-07 17:22:23,-3.2033,-52.2064,86.09,74,75,5.75
43,Mackay,AU,2022-01-07 17:22:23,-21.15,149.2,79.72,90,4,3.13
44,Sitka,US,2022-01-07 17:22:24,57.0531,-135.33,17.49,67,40,4.61
45,Labrea,BR,2022-01-07 17:22:25,-7.2586,-64.7981,74.32,98,100,3.29
46,Barrow,US,2022-01-07 17:22:25,71.2906,-156.7887,-11.18,77,0,9.22
47,Severo-Kurilsk,RU,2022-01-07 17:23:26,50.6789,156.125,24.12,74,14,3.18
48,Vaini,TO,2022-01-07 17:23:26,-21.2,-175.2,73.56,100,40,3.44
49,Arraial Do Cabo,BR,2022-01-07 17:23:26,-22.9661,-42.0278,76.96,88,75,11.5
50,Havre-Saint-Pierre,CA,2022-01-07 17:23:27,50.2334,-63.5986,11.68,60,100,10.58
51,Jibuti,DJ,2022-01-07 17:23:27,11.5,42.5,72.63,75,87,17.02
52,Nieuw Amsterdam,SR,2022-01-07 17:23:27,5.8833,-55.0833,85.01,72,40,13.8
53,Boyuibe,BO,2022-01-07 17:23:28,-20.4167,-63.2833,87.71,34,27,4.9
54,Torbay,CA,2022-01-07 17:23:28,47.6666,-52.7314,31.87,76,99,1.01
55,Svetlogorsk,BY,2022-01-07 17:23:29,52.6333,29.7333,28.09,74,10,12.57
56,Bouake,CI,2022-01-07 17:23:29,7.6895,-5.0218,93.88,13,54,3.69
57,Cidreira,BR,2022-01-07 17:23:30,-30.1811,-50.2056,72.9,62,93,14.7
58,Peniche,PT,2022-01-07 17:23:30,39.3558,-9.3811,58.95,80,1,19.66
59,Rio Gallegos,AR,2022-01-07 17:21:37,-51.6226,-69.2181,64.45,34,75,29.93
60,Victoria,HK,2022-01-07 17:19:07,22.2855,114.1577,66.18,85,21,1.01
61,Lianzhou,CN,2022-01-07 17:23:31,24.7811,112.3825,46.06,89,49,3.76
62,Iqaluit,CA,2022-01-07 17:23:31,63.7506,-68.5145,-21.95,91,100,4.0
63,Ust-Maya,RU,2022-01-07 17:23:32,60.4167,134.5333,-36.36,100,92,1.57
